,Q1,Q2,Q3,Q4,Q5,Q6,Q25
90,41,Man,Japan,4,Program/Project Manager,12,81663
91,52,Man,USA,3,Data Engineer,27,499679
92,46,Prefer not to say,USA,5,Data Scientist,28,176960
93,44,Man,USA,4,Machine Learning Engineer,9,180958
94,58,Man,USA,4,Data Scientist,21,972428
95,47,Man,USA,4,Other,24,255616
96,25,Woman,USA,5,Data Scientist,1,4860
97,38,Man,China,4,Program/Project Manager,20,7979
98,34,Man,China,2,Data Analyst,1,227
99,26,Man,South Korea,3,Data Analyst,0.5,39898
100,23,Man,China,3,Software Engineer,4,14530
101,65,Man,Japan,2,Software Engineer,20,2476
102,32,Man,Japan,4,Software Engineer,14,480
103,26,Man,South Korea,3,Machine Learning Engineer,3,2128
104,28,Woman,Japan,4,Software Engineer,2,40792
105,30,Woman,South Korea,4,Product Manager,1,2919
106,36,Man,USA,3,Other,0.5,54959
107,40,Man,Japan,3,Other,1,125804
108,39,Man,Japan,4,Other,0.5,50776
109,34,Man,USA,4,Other,3,92374
110,28,Man,South Korea,3,Data Engineer,1,189
111,35,Man,USA,3,Product Manager,5,190528
112,37,Man,USA,5,Research Scientist,5,284499
113,35,Man,USA,5,Machine Learning Engineer,8,219877
114,43,Man,USA,4,Other,5,110619
115,26,Man,USA,4,Data Scientist,4,80280
116,25,Man,Japan,1,Business Analyst,1,751
117,47,Man,USA,3,Other,28,225549
118,35,Man,Japan,4,Software Engineer,4,2182
119,32,Woman,South Korea,3,Research Scientist,4,44234
120,43,Man,South Korea,5,Machine Learning Engineer,4,114382
121,34,Man,China,4,Data Analyst,5,82602
122,33,Woman,South Korea,4,Data Analyst,0.5,1182
123,31,Man,USA,4,Data Scientist,3,89168
124,29,Man,China,4,Data Scientist,3,1050
125,25,Man,USA,5,Data Scientist,0.5,69010
126,64,Man,USA,3,Other,29,118952
127,29,Man,Japan,4,Product Manager,3,5096
128,23,Man,Japan,4,Research Scientist,3,38552
129,50,Man,Japan,3,Product Manager,5,65485
130,53,Man,USA,4,Data Scientist,7,123456
131,30,Woman,South Korea,4,Business Analyst,0.5,4083
132,52,Man,USA,4,Research Scientist,19,494696
133,29,Man,China,4,Data Analyst,3,13755
134,32,Man,South Korea,5,Research Scientist,9,16918
135,29,Woman,USA,3,Other,0.5,12641
136,40,Man,South Korea,5,Data Scientist,20,10651
137,54,Man,South Korea,5,Business Analyst,9,56803
138,69,Man,USA,4,Business Analyst,0,113125
139,28,Man,South Korea,4,Data Scientist,2,2755
140,29,Woman,USA,4,Software Engineer,2,488
141,32,Woman,USA,4,Business Analyst,0,60003
142,56,Man,USA,3,Other,2,30858
143,57,Man,USA,2,Software Engineer,24,139920
144,58,Man,USA,4,Other,0.5,41708
145,42,Woman,USA,5,Research Scientist,19,39175
146,52,Man,Japan,3,Other,3,77864
147,51,Woman,South Korea,4,Product Manager,0.5,4445
148,39,Man,Japan,4,Software Engineer,20,13996
149,19,Man,China,2,Data Analyst,0.5,1074
150,33,Man,China,3,Product Manager,2,202
151,31,Man,South Korea,3,Other,0.5,65192
152,45,Man,USA,5,Data Scientist,18,169927
153,38,Man,USA,4,Business Analyst,14,877
154,57,Man,USA,5,Research Scientist,12,230102
155,34,Man,USA,3,Data Scientist,8,243636
156,66,Prefer not to say,USA,4,Data Analyst,0,107652
157,47,Man,Japan,3,Other,27,122442
158,68,Man,Japan,3,Program/Project Manager,28,44929
159,31,Man,China,4,Business Analyst,4,36833
160,27,Man,USA,3,Software Engineer,8,134031
161,59,Man,Japan,4,Other,4,77123
162,37,Man,USA,4,Other,8,79206
163,33,Man,USA,3,Software Engineer,2,86402
164,44,Man,China,4,Product Manager,12,3963
165,29,Man,Japan,4,Data Scientist,2,52730
166,26,Man,Japan,4,Software Engineer,5,44764
167,45,Man,Japan,4,Software Engineer,23,78212
168,27,Woman,South Korea,2,Data Scientist,0.5,2612
169,67,Man,USA,5,Statistician,22,109200
170,34,Man,South Korea,2,Data Analyst,3,3975
171,42,Man,USA,4,Data Scientist,19,427951
172,32,Man,USA,5,Research Scientist,4,102262
173,45,Woman,USA,4,Statistician,26,222926
174,24,Man,China,2,Data Analyst,1,1855
175,64,Man,Japan,5,Other,15,157724
176,64,Man,USA,4,Business Analyst,21,172872
177,25,Man,Japan,4,Data Scientist,9,87069
178,52,Man,USA,4,Machine Learning Engineer,23,234783
179,51,Man,USA,3,Program/Project Manager,19,195616
180,25,Man,USA,4,Software Engineer,9,615
181,26,Man,USA,5,Machine Learning Engineer,3,1713
182,26,Man,USA,5,Business Analyst,29,2773
183,27,Man,Japan,0,Data Scientist,1,58063
184,39,Nonbinary,USA,4,Machine Learning Engineer,6,815
185,53,Woman,USA,4,Data Analyst,27,91099
186,42,Woman,USA,3,Program/Project Manager,0,62795
187,45,Man,USA,4,Other,0,64589
188,48,Woman,USA,5,Other,0,119441
189,51,Man,USA,3,Data Scientist,28,234744
190,38,Woman,USA,4,Other,7,39990
191,27,Man,USA,3,Data Analyst,1,100626
192,50,Man,USA,4,Data Scientist,4,295521
193,43,Man,USA,4,Data Scientist,3,175538
194,51,Man,Japan,4,Data Analyst,22,109125
195,28,Man,Japan,4,Business Analyst,9,4940
196,44,Man,USA,5,Research Scientist,19,72043
197,32,Man,Japan,4,Data Scientist,5,73163
198,29,Woman,USA,3,Data Scientist,5,97739
199,33,Man,USA,4,Machine Learning Engineer,13,126310
200,48,Woman,South Korea,5,Data Scientist,8,5954
201,26,Man,USA,2,Software Engineer,2,46023
202,40,Man,Japan,3,Other,0.5,138216
203,25,Man,USA,4,Data Scientist,0.5,91750
204,27,Man,South Korea,3,Business Analyst,4,56288
205,37,Man,USA,5,Software Engineer,28,465362
206,36,Man,USA,4,Data Engineer,22,163526
207,39,Man,Japan,5,Research Scientist,2,2494
208,53,Woman,USA,4,Product Manager,10,175993
209,29,Man,Japan,4,Data Engineer,3,367
210,47,Man,Japan,1,Software Engineer,28,4639
211,55,Man,USA,4,Data Scientist,25,161241
212,27,Man,Japan,3,Data Analyst,1,34059
213,55,Man,USA,5,Data Scientist,27,1086633
214,57,Man,USA,2,Data Engineer,24,98074
215,31,Man,USA,5,Research Scientist,8,969
216,68,Man,USA,4,Data Analyst,16,32639
217,20,Man,China,4,Data Engineer,0,208
218,31,Nonbinary,USA,5,Machine Learning Engineer,1,86479
219,36,Man,USA,4,Program/Project Manager,19,76094
220,58,Man,Japan,5,Other,5,188902
221,57,Man,Japan,5,Research Scientist,27,99555
222,34,Man,USA,4,Machine Learning Engineer,5,635
223,34,Man,China,4,Data Analyst,9,80436
224,20,Man,Japan,2,Data Analyst,0,856
225,25,Man,China,4,Data Analyst,1,67674
226,35,Man,South Korea,2,Other,19,86545
227,35,Man,Japan,4,Data Scientist,9,1072098
228,30,Woman,Japan,3,Machine Learning Engineer,4,45539
229,44,Man,USA,3,Other,16,357184
230,26,Man,China,4,Machine Learning Engineer,2,40922
231,57,Man,USA,3,Program/Project Manager,25,124751
232,60,Man,Japan,3,Program/Project Manager,24,26228
233,55,Man,USA,5,Data Scientist,24,129069
234,50,Man,Japan,3,Program/Project Manager,0.5,124603
235,27,Woman,USA,3,Software Engineer,3,76002
236,24,Woman,USA,3,Data Analyst,0.5,58160
237,35,Man,USA,4,Research Scientist,5,86923
238,32,Man,USA,3,Software Engineer,18,118882
239,59,Man,Japan,3,Data Engineer,3,5618
240,57,Woman,USA,4,Other,5,152900
241,58,Woman,USA,4,Data Analyst,8,105885
242,25,Man,Japan,4,Machine Learning Engineer,4,7006
243,35,Man,USA,4,Data Scientist,12,187112
244,30,Man,USA,3,Data Analyst,0.5,64810
245,37,Man,USA,4,Software Engineer,0.5,101829
246,31,Man,USA,4,Data Scientist,16,200181
247,42,Man,USA,4,Other,5,165184
248,50,Man,USA,4,Research Scientist,27,278571
249,65,Man,USA,4,Software Engineer,24,146083
250,28,Man,China,4,Data Analyst,4,78140
251,51,Man,USA,4,Business Analyst,0.5,93886
252,69,Man,USA,3,Research Scientist,26,135235
253,55,Man,Japan,4,Other,0.5,115888
254,26,Woman,China,5,Research Scientist,2,955
255,38,Man,China,4,Machine Learning Engineer,7,57658
256,42,Man,USA,5,Data Scientist,20,171849
257,28,Man,USA,3,Software Engineer,3,108727
258,19,Man,Japan,4,Data Scientist,0.5,134
259,32,Man,USA,5,Research Scientist,6,54500
260,34,Man,Japan,3,Business Analyst,0,26326
261,26,Man,South Korea,5,Software Engineer,3,54201
262,41,Man,USA,4,Data Scientist,12,89402
263,35,Man,Japan,4,Product Manager,0,1994
264,53,Man,USA,4,Research Scientist,7,133761
265,24,Man,USA,3,Research Scientist,5,23475
266,60,Woman,USA,3,Software Engineer,20,691
267,24,Man,USA,4,Other,4,58247
268,70,Man,USA,5,Other,5,23
269,43,Woman,USA,4,Data Analyst,2,103274
270,33,Man,USA,3,Data Analyst,0,53962
271,37,Woman,USA,5,Machine Learning Engineer,13,621251
272,30,Man,USA,4,Machine Learning Engineer,11,223290
273,49,Man,USA,3,DBA/Database Engineer,7,147545
274,49,Man,Japan,0,Program/Project Manager,9,102422
275,31,Nonbinary,USA,5,Research Scientist,4,185143
276,25,Man,Japan,5,Research Scientist,5,24585
277,56,Man,Japan,3,Machine Learning Engineer,6,4320
278,34,Man,Japan,4,Business Analyst,0.5,68618
279,30,Man,China,3,Software Engineer,4,27360
280,66,Man,USA,4,Software Engineer,25,151901
281,24,Woman,China,4,Machine Learning Engineer,3,313
282,30,Man,USA,2,Data Analyst,2,77872
283,67,Man,USA,5,Data Scientist,27,113703
284,62,Man,USA,5,Research Scientist,25,190713
285,52,Man,Japan,3,Other,2,86638
286,32,Man,USA,3,Data Analyst,3,87698
287,59,Man,USA,3,Program/Project Manager,0.5,97707
288,30,Woman,USA,4,Data Scientist,7,232611
289,47,Woman,USA,4,Program/Project Manager,23,177833
290,25,Woman,USA,1,Other,0,23340
291,39,Woman,South Korea,4,Data Engineer,10,12445
292,22,Woman,China,3,Data Analyst,0.5,1572
293,23,Man,USA,3,Software Engineer,10,100294
294,22,Prefer not to say,China,4,Machine Learning Engineer,0.5,2402
295,47,Woman,USA,4,Data Scientist,3,170136
296,25,Man,USA,4,Data Analyst,8,76639
297,23,Man,USA,4,Machine Learning Engineer,4,7561
298,60,Man,USA,2,Product Manager,21,281648
299,31,Man,USA,3,Data Analyst,0.5,44799
300,36,Woman,USA,4,Other,13,120942
301,33,Man,China,4,Software Engineer,9,8648
302,38,Man,USA,4,Data Scientist,2,119781
303,49,Man,USA,5,Machine Learning Engineer,20,219928
304,55,Man,USA,3,Software Engineer,12,121884
305,39,Man,China,5,Data Scientist,3,29363
306,34,Man,Japan,4,Software Engineer,8,74483
307,57,Man,Japan,3,Software Engineer,10,71337
308,33,Man,USA,5,Data Scientist,3,173400
309,22,Man,Japan,3,Data Scientist,3,56095
310,56,Man,USA,4,Business Analyst,0.5,101739
311,41,Woman,USA,5,Research Scientist,17,300750
312,35,Man,USA,3,Data Scientist,5,141076
313,39,Woman,USA,2,Other,10,21308
314,66,Man,USA,4,Program/Project Manager,17,155568
315,69,Man,USA,4,Software Engineer,16,176333
316,50,Man,USA,4,Data Scientist,24,231660
317,29,Woman,USA,4,Data Analyst,0.5,15475
318,34,Man,China,4,Machine Learning Engineer,17,172296
319,24,Man,China,4,Machine Learning Engineer,2,361
320,22,Man,China,3,Software Engineer,4,18547
321,41,Man,USA,5,Data Scientist,10,81097
322,28,Man,USA,5,Research Scientist,9,33493
323,33,Man,USA,4,Statistician,9,728
324,28,Woman,USA,4,Program/Project Manager,10,114561
325,29,Man,China,3,Machine Learning Engineer,2,181183
326,25,Man,USA,4,Research Scientist,9,700
327,23,Man,USA,3,Data Engineer,4,29777
328,33,Man,USA,4,Data Analyst,0.5,9035
329,20,Man,USA,3,Data Scientist,1,240
330,53,Woman,USA,4,Data Engineer,6,386
331,68,Man,USA,3,Data Analyst,0.5,19358
332,38,Man,South Korea,4,Software Engineer,24,91597
333,67,Man,USA,5,Data Scientist,23,173372
334,24,Woman,South Korea,0,Data Analyst,0.5,292
335,37,Man,Japan,4,Data Engineer,20,79424
336,39,Man,USA,4,Business Analyst,0,49536
337,49,Man,Japan,3,Software Engineer,22,9856
338,41,Woman,China,4,Program/Project Manager,5,22951
339,31,Man,Japan,5,Other,10,67331
340,22,Woman,USA,3,Program/Project Manager,2,77024
341,49,Man,South Korea,5,Data Engineer,22,25075
342,50,Man,USA,4,Product Manager,0.5,259672
343,37,Man,USA,5,Program/Project Manager,0.5,70926
344,24,Man,China,4,Software Engineer,7,59182
345,34,Man,Japan,3,Machine Learning Engineer,3,7565
346,38,Man,China,4,Software Engineer,8,50979
347,35,Man,Japan,3,Product Manager,3,330
348,28,Man,USA,3,Program/Project Manager,9,53202
349,42,Woman,USA,0,DBA/Database Engineer,2,27
350,46,Man,USA,4,Product Manager,17,244791
351,57,Man,Japan,3,Software Engineer,27,3119
352,23,Man,USA,3,Data Analyst,6,42031
353,67,Man,Japan,3,Machine Learning Engineer,5,274
354,18,Man,China,2,Machine Learning Engineer,1,575
355,52,Man,USA,4,Software Engineer,20,148801
356,31,Man,China,4,Machine Learning Engineer,10,3909
357,28,Woman,USA,4,Program/Project Manager,3,75915
358,38,Man,USA,3,Software Engineer,20,278115
359,55,Man,USA,5,Business Analyst,2,96109
360,48,Man,Japan,5,Research Scientist,0.5,78161
361,68,Man,USA,4,Software Engineer,24,92500
362,60,Nonbinary,USA,4,Machine Learning Engineer,23,109826
363,36,Man,USA,5,Data Scientist,7,188150
364,37,Man,USA,5,Data Scientist,18,265723
365,70,Man,USA,4,Other,21,154
366,34,Man,USA,4,Data Scientist,5,75481
367,46,Woman,USA,3,Data Engineer,5,120
368,22,Man,USA,4,Data Scientist,3,114497
369,42,Man,Japan,3,Business Analyst,3,122446
370,70,Man,USA,4,Program/Project Manager,20,42553
371,32,Man,China,5,Data Scientist,5,23309
372,33,Man,USA,4,Other,0.5,120065
373,53,Man,USA,4,Research Scientist,22,232300
374,39,Man,USA,2,Other,0,48924
375,41,Man,USA,4,Data Analyst,4,69064
376,24,Prefer not to say,China,4,Data Analyst,0.5,85
377,55,Man,USA,3,DBA/Database Engineer,23,156409
378,24,Man,China,4,Machine Learning Engineer,5,4053
379,53,Man,USA,2,Other,0.5,46704
380,31,Man,China,4,Machine Learning Engineer,6,113386
381,30,Woman,USA,4,Data Analyst,0.5,825
382,38,Man,USA,5,Data Scientist,18,182651
383,29,Man,China,4,Machine Learning Engineer,2,38888
384,53,Man,USA,3,Data Scientist,19,244068
385,30,Man,USA,5,Data Analyst,1,57401
386,24,Man,China,3,Software Engineer,3,785
387,40,Man,USA,3,Product Manager,22,405786
388,59,Man,USA,3,Software Engineer,27,193153
389,41,Man,USA,2,Machine Learning Engineer,20,1045068
390,54,Man,USA,5,Data Scientist,25,174359
391,36,Man,USA,4,Data Scientist,8,193038
392,27,Man,Japan,3,Software Engineer,3,45503
393,24,Man,USA,4,Data Analyst,0.5,58334
394,28,Nonbinary,USA,3,Research Scientist,3,27286
395,39,Man,USA,4,Software Engineer,8,88557
396,26,Man,Japan,4,Software Engineer,4,49260
397,25,Woman,USA,3,Other,8,23059
398,36,Man,China,4,Software Engineer,27,144855
399,33,Man,USA,4,Other,16,108565
400,47,Woman,Japan,5,Other,0.5,158002
401,46,Man,USA,3,Data Analyst,9,45842
402,41,Man,USA,5,Data Scientist,19,129224
403,57,Nonbinary,Japan,4,Software Engineer,28,50497
404,18,Nonbinary,USA,3,Machine Learning Engineer,3,39361
405,34,Man,Japan,4,Research Scientist,2,48775
406,31,Man,USA,2,Business Analyst,0.5,33282
407,29,Man,China,3,Software Engineer,5,805
408,54,Man,USA,3,Software Engineer,22,126976
409,23,Man,USA,5,Research Scientist,20,689
410,47,Man,Japan,3,Other,0.5,116091
411,65,Man,USA,4,Other,20,18918
412,22,Man,China,4,Machine Learning Engineer,4,194
413,23,Woman,USA,4,Data Engineer,4,62632
414,31,Prefer to self-describe,USA,4,Other,0.5,34761
415,27,Man,Japan,2,Software Engineer,3,214
416,48,Man,USA,3,Data Analyst,0.5,87097
417,30,Man,Japan,5,Research Scientist,0.5,79014
418,22,Man,USA,3,Data Scientist,4,97829
419,26,Man,USA,3,Data Scientist,3,123240
420,27,Man,USA,3,Data Analyst,3,46121
421,24,Man,USA,3,Business Analyst,0,65682
422,31,Man,Japan,3,Machine Learning Engineer,15,86885
423,40,Man,USA,4,Machine Learning Engineer,3,198768
424,26,Man,USA,3,Data Analyst,2,95553
425,30,Man,USA,4,Machine Learning Engineer,7,100667
426,43,Man,Japan,4,Research Scientist,20,80621
427,47,Man,Japan,2,Research Scientist,0.5,47260
428,68,Man,USA,3,Other,0,290294
429,31,Man,USA,3,Business Analyst,1,21429
430,41,Man,USA,4,Data Scientist,10,290658
431,32,Man,Japan,3,Data Scientist,3,60172
432,46,Man,USA,4,Other,7,2408
433,56,Man,USA,5,Other,20,78562
434,26,Man,Japan,4,Product Manager,0.5,32891
435,53,Man,USA,4,Other,0,57828
436,41,Woman,USA,5,Other,17,107400
437,27,Man,Japan,4,Data Scientist,3,2026
438,22,Man,China,4,Data Scientist,3,24023
439,38,Woman,USA,5,Other,8,102040
440,31,Man,China,4,Data Analyst,4,39195
441,50,Man,USA,5,Research Scientist,21,391707
442,29,Woman,USA,4,Other,0,56129
443,27,Man,China,3,Data Analyst,2,3953
444,31,Man,China,4,Machine Learning Engineer,9,41445
445,27,Woman,China,4,Machine Learning Engineer,1,36168
446,41,Man,Japan,4,Data Scientist,5,5367
447,38,Man,USA,3,Data Scientist,10,153445
448,23,Man,China,4,Data Scientist,5,598
449,51,Woman,Japan,4,Business Analyst,2,243
450,64,Man,USA,4,DBA/Database Engineer,26,132869
451,25,Man,USA,4,Research Scientist,2,28732
452,39,Man,USA,3,Other,0.5,82719
453,37,Man,USA,4,Statistician,0.5,120994
454,63,Man,USA,3,DBA/Database Engineer,14,173691
455,57,Man,Japan,3,Other,10,111107
456,67,Man,USA,2,Data Analyst,23,98395
457,34,Man,China,3,Machine Learning Engineer,6,71863
458,38,Woman,USA,4,Data Analyst,24,77025
459,55,Man,Japan,4,Other,0,9515
460,48,Man,USA,2,Software Engineer,23,244617
461,31,Woman,USA,4,Business Analyst,0.5,648
462,31,Woman,China,3,Business Analyst,9,37056
463,66,Man,Japan,5,Other,23,36073
464,29,Man,USA,4,Data Analyst,4,61733
465,70,Man,Japan,5,Program/Project Manager,25,281447
466,40,Man,Japan,3,Software Engineer,20,4187
467,57,Man,Japan,4,Other,0.5,90827
468,27,Man,Japan,4,Research Scientist,4,43635
469,27,Man,South Korea,4,Software Engineer,4,19357
470,57,Man,South Korea,5,Machine Learning Engineer,5,10584
471,24,Man,USA,3,Data Scientist,3,163919
472,48,Man,Japan,5,Data Scientist,11,67455
473,35,Woman,USA,4,Data Scientist,27,123948
474,22,Woman,USA,3,Other,4,79597
475,25,Man,Japan,2,Other,0.5,3846
476,30,Man,USA,4,Data Scientist,3,138315
477,51,Man,Japan,2,Program/Project Manager,28,50288
478,30,Man,Japan,4,Data Scientist,14,63793
479,22,Man,China,5,Data Analyst,0.5,366
480,30,Man,China,3,Data Engineer,1,2081
481,44,Man,South Korea,2,Software Engineer,19,105
482,53,Man,USA,2,Data Scientist,0.5,150760
483,39,Man,USA,5,Other,18,211075
484,32,Woman,USA,4,Data Scientist,3,121512
485,34,Man,USA,3,Software Engineer,4,60147
486,27,Man,USA,3,Software Engineer,10,177319
487,49,Man,USA,4,Other,0,71818
488,49,Man,Japan,0,Software Engineer,14,54381
489,18,Man,China,2,Software Engineer,2,619
490,70,Man,USA,5,Other,21,114163
491,42,Man,USA,5,Research Scientist,24,302
492,33,Man,Japan,4,Data Engineer,0.5,5357
493,31,Man,China,3,Data Analyst,9,4745
494,43,Man,Japan,5,Machine Learning Engineer,14,9748
495,43,Man,USA,5,Research Scientist,26,83657
496,69,Woman,USA,4,Data Analyst,4,125072
497,30,Woman,USA,5,Statistician,6,62402
498,52,Man,USA,3,Software Engineer,27,188915
499,53,Woman,USA,4,Data Scientist,27,152835
500,56,Man,USA,2,Software Engineer,24,102686
501,30,Man,Japan,4,Data Analyst,1,40880
502,44,Man,USA,4,Software Engineer,11,100209
503,43,Woman,USA,4,Data Scientist,19,12200
504,46,Man,Japan,4,Program/Project Manager,1,94350
505,24,Man,Japan,3,Data Scientist,4,860
506,50,Woman,USA,4,Statistician,18,144571
507,21,Man,China,4,Research Scientist,2,156
508,25,Man,USA,5,Statistician,5,133068
509,26,Man,Japan,3,Software Engineer,1,2142
510,22,Man,Japan,3,Machine Learning Engineer,2,38274
511,29,Man,Japan,3,Software Engineer,6,4562
512,23,Prefer not to say,China,0,Developer Relations/Advocacy,3,686
513,58,Man,USA,3,Software Engineer,22,119859
514,45,Man,USA,4,Other,10,123677
515,33,Woman,USA,5,Data Scientist,6,146764
516,52,Man,USA,4,Other,22,198033
517,68,Man,USA,4,Research Scientist,12,111
518,42,Man,Japan,4,Data Scientist,15,9061
519,32,Man,South Korea,4,Machine Learning Engineer,3,4932
520,49,Man,USA,5,Machine Learning Engineer,21,737080
521,50,Man,USA,3,Data Engineer,26,136156
522,46,Man,USA,4,Program/Project Manager,18,240744
523,61,Man,USA,4,Data Scientist,26,104854
524,53,Man,USA,3,Research Scientist,27,47618
525,28,Man,USA,4,Machine Learning Engineer,4,132874
526,31,Man,Japan,3,Software Engineer,3,52727
527,38,Man,USA,4,Machine Learning Engineer,11,166212
528,29,Man,Japan,4,Research Scientist,0.5,51380
529,34,Man,Japan,3,Product Manager,3,39449
530,50,Man,USA,4,Machine Learning Engineer,16,241776
531,31,Man,China,4,Data Scientist,3,1364
532,53,Man,USA,3,Product Manager,22,142313
533,38,Man,USA,3,Data Analyst,6,108560
534,41,Woman,USA,3,Program/Project Manager,1,1908
535,28,Man,USA,5,Machine Learning Engineer,6,153615
536,25,Man,China,4,Machine Learning Engineer,2,11491
537,37,Man,USA,4,Other,0,53196
538,39,Man,South Korea,0,Data Scientist,20,80968
539,43,Man,USA,5,Other,6,162215
540,37,Nonbinary,USA,3,Developer Relations/Advocacy,2,1041344
541,63,Man,USA,4,Software Engineer,28,155999
542,28,Prefer not to say,USA,5,Machine Learning Engineer,5,405516
543,42,Man,China,4,Program/Project Manager,21,95536
544,64,Man,USA,5,Software Engineer,20,122712
545,28,Woman,USA,4,Software Engineer,0.5,281
546,70,Man,Japan,1,Other,24,6588
547,35,Man,USA,4,Program/Project Manager,3,116416
548,27,Man,Japan,3,Business Analyst,3,55224
549,21,Man,USA,4,Data Scientist,2,321
550,59,Man,USA,3,Other,0,824
551,27,Woman,USA,2,Other,9,37547
552,44,Man,Japan,4,Program/Project Manager,0.5,81387
553,33,Man,USA,4,Software Engineer,8,115983
554,23,Woman,USA,4,Software Engineer,1,849
555,47,Prefer not to say,USA,2,Data Analyst,20,864
556,69,Man,Japan,4,Other,0,108284
557,46,Man,South Korea,4,Data Scientist,21,65663
558,34,Man,USA,3,Program/Project Manager,0.5,51208
559,43,Man,USA,3,Data Analyst,1,79817
560,50,Woman,USA,4,DBA/Database Engineer,22,152272
561,49,Man,USA,4,Data Engineer,13,152976
562,36,Man,Japan,4,Other,0.5,6821
563,38,Woman,USA,4,Research Scientist,3,95104
564,34,Man,USA,4,Data Scientist,6,98014
565,50,Man,USA,4,Program/Project Manager,5,97892
